Date,CISS
2007-03-02,0.1672
2007-03-09,0.1418
2007-03-16,0.1989
2007-03-23,0.1873
2007-03-30,0.1027
2007-04-06,0.0919
2007-04-13,0.0836
2007-04-20,0.1109
2007-04-27,0.0679
2007-05-04,0.0593
2007-05-11,0.0634
2007-05-18,0.0517
2007-05-25,0.0633
2007-06-01,0.0717
2007-06-08,0.1002
2007-06-15,0.0792
2007-06-22,0.0431
2007-06-29,0.0826
2007-07-06,0.0531
2007-07-13,0.1123
2007-07-20,0.1161
2007-07-27,0.1556
2007-08-03,0.2086
2007-08-10,0.3111
2007-08-17,0.3383
2007-08-24,0.3532
2007-08-31,0.3049
2007-09-07,0.3145
2007-09-14,0.2887
2007-09-21,0.3554
2007-09-28,0.3118
2007-10-05,0.2477
2007-10-12,0.2329
2007-10-19,0.2123
2007-10-26,0.273
2007-11-02,0.246
2007-11-09,0.2547
2007-11-16,0.3089
2007-11-23,0.4067
2007-11-30,0.4092
2007-12-07,0.3654
2007-12-14,0.3668
2007-12-21,0.3465
2007-12-28,0.1986
2008-01-04,0.3142
2008-01-11,0.4143
2008-01-18,0.4887
2008-01-25,0.598
2008-02-01,0.4905
2008-02-08,0.5032
2008-02-15,0.4868
2008-02-22,0.3811
2008-02-29,0.4444
2008-03-07,0.491
2008-03-14,0.5443
2008-03-21,0.5654
2008-03-28,0.5327
2008-04-04,0.4906
2008-04-11,0.4323
2008-04-18,0.5389
2008-04-25,0.4516
2008-05-02,0.3635
2008-05-09,0.3569
2008-05-16,0.3766
2008-05-23,0.4514
2008-05-30,0.3729
2008-06-06,0.5405
2008-06-13,0.4635
2008-06-20,0.4105
2008-06-27,0.4257
2008-07-04,0.4905
2008-07-11,0.3888
2008-07-18,0.4146
2008-07-25,0.3749
2008-08-01,0.3634
2008-08-08,0.3935
2008-08-15,0.3783
2008-08-22,0.3828
2008-08-29,0.3211
2008-09-05,0.4416
2008-09-12,0.4787
2008-09-19,0.5519
2008-09-26,0.5686
2008-10-03,0.7034
2008-10-10,0.7403
2008-10-17,0.7142
2008-10-24,0.7519
2008-10-31,0.7624
2008-11-07,0.7692
2008-11-14,0.7563
2008-11-21,0.7825
2008-11-28,0.8039
2008-12-05,0.7552
2008-12-12,0.8388
2008-12-19,0.7762
2008-12-26,0.4298
2009-01-02,0.5446
2009-01-09,0.7352
2009-01-16,0.7929
2009-01-23,0.763
2009-01-30,0.7579
2009-02-06,0.7231
2009-02-13,0.6688
2009-02-20,0.7698
2009-02-27,0.7759
2009-03-06,0.7942
2009-03-13,0.7531
2009-03-20,0.753
2009-03-27,0.7894
2009-04-03,0.7636
2009-04-10,0.5897
2009-04-17,0.6916
2009-04-24,0.6722
2009-05-01,0.6589
2009-05-08,0.7221
2009-05-15,0.6152
2009-05-22,0.5638
2009-05-29,0.4307
2009-06-05,0.6316
2009-06-12,0.5524
2009-06-19,0.6715
2009-06-26,0.6567
2009-07-03,0.6187
2009-07-10,0.6003
2009-07-17,0.5929
2009-07-24,0.5197
2009-07-31,0.5569
2009-08-07,0.5204
2009-08-14,0.4995
2009-08-21,0.4879
2009-08-28,0.4045
2009-09-04,0.3671
2009-09-11,0.4627
2009-09-18,0.3127
2009-09-25,0.3877
2009-10-02,0.4259
2009-10-09,0.4512
2009-10-16,0.3812
2009-10-23,0.3154
2009-10-30,0.4873
2009-11-06,0.4037
2009-11-13,0.3245
2009-11-20,0.3727
2009-11-27,0.3975
2009-12-04,0.3829
2009-12-11,0.382
2009-12-18,0.3649
2009-12-25,0.2513
2010-01-01,0.2008
2010-01-08,0.2811
2010-01-15,0.2962
2010-01-22,0.3572
2010-01-29,0.2848
2010-02-05,0.3319
2010-02-12,0.2978
2010-02-19,0.2871
2010-02-26,0.3097
2010-03-05,0.304
2010-03-12,0.2049
2010-03-19,0.2348
2010-03-26,0.1958
2010-04-02,0.174
2010-04-09,0.2083
2010-04-16,0.2278
2010-04-23,0.2613
2010-04-30,0.2868
2010-05-07,0.388
2010-05-14,0.4052
2010-05-21,0.4023
2010-05-28,0.4085
2010-06-04,0.3961
2010-06-11,0.3939
2010-06-18,0.3064
2010-06-25,0.3555
2010-07-02,0.4466
2010-07-09,0.36
2010-07-16,0.3724
2010-07-23,0.346
2010-07-30,0.2727
2010-08-06,0.2768
2010-08-13,0.3414
2010-08-20,0.3216
2010-08-27,0.3519
2010-09-03,0.3487
2010-09-10,0.3512
2010-09-17,0.3294
2010-09-24,0.3804
2010-10-01,0.2913
2010-10-08,0.3261
2010-10-15,0.2826
2010-10-22,0.3064
2010-10-29,0.2464
2010-11-05,0.271
2010-11-12,0.2558
2010-11-19,0.265
2010-11-26,0.3069
2010-12-03,0.3594
2010-12-10,0.243
2010-12-17,0.2385
2010-12-24,0.1707
2010-12-31,0.1815
2011-01-07,0.2113
2011-01-14,0.2187
2011-01-21,0.2101
2011-01-28,0.1785
2011-02-04,0.1614
2011-02-11,0.1349
2011-02-18,0.1669
2011-02-25,0.1384
2011-03-04,0.1703
2011-03-11,0.131
2011-03-18,0.2026
2011-03-25,0.2086
2011-04-01,0.1743
2011-04-08,0.1909
2011-04-15,0.153
2011-04-22,0.2167
2011-04-29,0.1453
2011-05-06,0.2048
2011-05-13,0.1802
2011-05-20,0.1414
2011-05-27,0.1508
2011-06-03,0.1808
2011-06-10,0.1726
2011-06-17,0.2005
2011-06-24,0.1851
2011-07-01,0.2383
2011-07-08,0.2758
2011-07-15,0.3376
2011-07-22,0.3121
2011-07-29,0.306
2011-08-05,0.4207
2011-08-12,0.5134
2011-08-19,0.4815
2011-08-26,0.4052
2011-09-02,0.4053
2011-09-09,0.527
2011-09-16,0.5288
2011-09-23,0.5542
2011-09-30,0.577
2011-10-07,0.6113
2011-10-14,0.6265
2011-10-21,0.5143
2011-10-28,0.5405
2011-11-04,0.6562
2011-11-11,0.5743
2011-11-18,0.4851
2011-11-25,0.5483
2011-12-02,0.5181
2011-12-09,0.4535
2011-12-16,0.5002
2011-12-23,0.4007
2011-12-30,0.4162
2012-01-06,0.5263
2012-01-13,0.4677
2012-01-20,0.463
2012-01-27,0.4369
2012-02-03,0.4227
2012-02-10,0.3736
2012-02-17,0.3172
2012-02-24,0.4004
2012-03-02,0.3402
2012-03-09,0.3862
2012-03-16,0.365
2012-03-23,0.3033
2012-03-30,0.336
2012-04-06,0.3121
2012-04-13,0.3532
2012-04-20,0.3579
2012-04-27,0.3897
2012-05-04,0.3489
2012-05-11,0.3369
2012-05-18,0.3732
2012-05-25,0.2993
2012-06-01,0.4284
2012-06-08,0.3974
2012-06-15,0.3317
2012-06-22,0.3726
2012-06-29,0.4198
2012-07-06,0.3993
2012-07-13,0.3815
2012-07-20,0.3791
2012-07-27,0.43
2012-08-03,0.4441
2012-08-10,0.3192
2012-08-17,0.2917
2012-08-24,0.3253
2012-08-31,0.2621
2012-09-07,0.2721
2012-09-14,0.2832
2012-09-21,0.2486
2012-09-28,0.2663
2012-10-05,0.2258
2012-10-12,0.2065
2012-10-19,0.2533
2012-10-26,0.2296
2012-11-02,0.1825
2012-11-09,0.1819
2012-11-16,0.1614
2012-11-23,0.1567
2012-11-30,0.1369
2012-12-07,0.1246
2012-12-14,0.1237
2012-12-21,0.0998
2012-12-28,0.0613
2013-01-04,0.1218
2013-01-11,0.1242
2013-01-18,0.1213
2013-01-25,0.1093
2013-02-01,0.1377
2013-02-08,0.1211
2013-02-15,0.0922
2013-02-22,0.1109
2013-03-01,0.1292
2013-03-08,0.1113
2013-03-15,0.0696
2013-03-22,0.1228
2013-03-29,0.0995
2013-04-05,0.1214
2013-04-12,0.116
2013-04-19,0.1206
2013-04-26,0.0947
2013-05-03,0.0835
2013-05-10,0.0618
2013-05-17,0.0495
2013-05-24,0.0564
2013-05-31,0.0596
2013-06-07,0.057
2013-06-14,0.057
2013-06-21,0.0885
2013-06-28,0.0977
2013-07-05,0.0733
2013-07-12,0.0667
2013-07-19,0.0442
2013-07-26,0.0571
2013-08-02,0.0415
2013-08-09,0.0421
2013-08-16,0.0405
2013-08-23,0.0402
2013-08-30,0.0437
2013-09-06,0.0471
2013-09-13,0.0376
2013-09-20,0.0287
2013-09-27,0.021
2013-10-04,0.0361
2013-10-11,0.0355
2013-10-18,0.0301
2013-10-25,0.0308
2013-11-01,0.0392
2013-11-08,0.0496
2013-11-15,0.0356
2013-11-22,0.0395
2013-11-29,0.0284
2013-12-06,0.0691
2013-12-13,0.05
2013-12-20,0.0603
2013-12-27,0.0313
2014-01-03,0.0534
2014-01-10,0.0576
2014-01-17,0.0768
2014-01-24,0.0911
2014-01-31,0.0844
2014-02-07,0.1134
2014-02-14,0.0839
2014-02-21,0.0426
2014-02-28,0.0521
2014-03-07,0.1598
2014-03-14,0.1084
2014-03-21,0.0791
2014-03-28,0.1232
2014-04-04,0.0742
2014-04-11,0.0886
2014-04-18,0.0549
2014-04-25,0.0561
2014-05-02,0.0643
2014-05-09,0.0887
2014-05-16,0.0935
2014-05-23,0.0573
2014-05-30,0.0462
2014-06-06,0.0665
2014-06-13,0.0639
2014-06-20,0.0669
2014-06-27,0.0698
2014-07-04,0.0824
2014-07-11,0.0821
2014-07-18,0.0911
2014-07-25,0.1364
2014-08-01,0.1171
2014-08-08,0.1103
2014-08-15,0.1155
2014-08-22,0.0994
2014-08-29,0.078
2014-09-05,0.115
2014-09-12,0.0793
2014-09-19,0.0653
2014-09-26,0.0876
2014-10-03,0.1214
2014-10-10,0.1216
2014-10-17,0.1822
2014-10-24,0.1253
2014-10-31,0.1556
2014-11-07,0.1315
2014-11-14,0.1084
2014-11-21,0.1209
2014-11-28,0.0479
2014-12-05,0.0961
2014-12-12,0.1126
2014-12-19,0.1372
2014-12-26,0.036
2015-01-02,0.087
2015-01-09,0.1482
2015-01-16,0.1548
2015-01-23,0.1925
2015-01-30,0.1491
2015-02-06,0.1274
2015-02-13,0.0818
2015-02-20,0.0549
2015-02-27,0.0742
2015-03-06,0.0627
2015-03-13,0.1072
2015-03-20,0.0936
2015-03-27,0.0752
2015-04-03,0.056
2015-04-10,0.0714
2015-04-17,0.0639
2015-04-24,0.0759
2015-05-01,0.1098
2015-05-08,0.1146
2015-05-15,0.0846
2015-05-22,0.0713
2015-05-29,0.0754
2015-06-05,0.1026
2015-06-12,0.0817
2015-06-19,0.0681
2015-06-26,0.0704
2015-07-03,0.121
2015-07-10,0.1942
2015-07-17,0.1123
2015-07-24,0.0878
2015-07-31,0.116
2015-08-07,0.1049
2015-08-14,0.1262
2015-08-21,0.1522
2015-08-28,0.2041
2015-09-04,0.1794
2015-09-11,0.1228
2015-09-18,0.1965
2015-09-25,0.2348
2015-10-02,0.1709
2015-10-09,0.1583
2015-10-16,0.1467
2015-10-23,0.1934
2015-10-30,0.1107
2015-11-06,0.101
2015-11-13,0.0919
2015-11-20,0.0964
2015-11-27,0.0824
2015-12-04,0.1327
2015-12-11,0.122
2015-12-18,0.0851
2015-12-25,0.0735
2016-01-01,0.0587
2016-01-08,0.1683
2016-01-15,0.1128
2016-01-22,0.1671
2016-01-29,0.1785
2016-02-05,0.1637
2016-02-12,0.2591
2016-02-19,0.2166
2016-02-26,0.2237
2016-03-04,0.2298
2016-03-11,0.2404
2016-03-18,0.1795
2016-03-25,0.1108
2016-04-01,0.1741
2016-04-08,0.1697
2016-04-15,0.1673
2016-04-22,0.179
2016-04-29,0.1625
2016-05-06,0.1397
2016-05-13,0.1087
2016-05-20,0.117
2016-05-27,0.1169
2016-06-03,0.1305
2016-06-10,0.1333
2016-06-17,0.1856
2016-06-24,0.3214
2016-07-01,0.3024
2016-07-08,0.2722
2016-07-15,0.3062
2016-07-22,0.1765
2016-07-29,0.2104
2016-08-05,0.2233
2016-08-12,0.1368
2016-08-19,0.1502
2016-08-26,0.1399
2016-09-02,0.147
2016-09-09,0.1422
2016-09-16,0.1202
2016-09-23,0.1502
2016-09-30,0.1019
2016-10-07,0.1439
2016-10-14,0.1469
2016-10-21,0.0933
2016-10-28,0.0935
2016-11-04,0.1177
2016-11-11,0.1411
2016-11-18,0.0873
2016-11-25,0.0812
2016-12-02,0.1248
2016-12-09,0.1461
2016-12-16,0.0934
2016-12-23,0.0748
2016-12-30,0.0524
2017-01-06,0.0756
2017-01-13,0.0629
2017-01-20,0.0743
2017-01-27,0.0854
2017-02-03,0.0775
2017-02-10,0.087
2017-02-17,0.0691
2017-02-24,0.0642
2017-03-03,0.0866
2017-03-10,0.0708
2017-03-17,0.054
2017-03-24,0.0529
2017-03-31,0.0445
2017-04-07,0.0457
2017-04-14,0.0406
2017-04-21,0.0506
2017-04-28,0.085
2017-05-05,0.046
2017-05-12,0.0415
2017-05-19,0.0631
2017-05-26,0.0413
2017-06-02,0.0473
2017-06-09,0.0437
2017-06-16,0.0558
2017-06-23,0.0245
2017-06-30,0.082
2017-07-07,0.0438
2017-07-14,0.0546
2017-07-21,0.0547
2017-07-28,0.0401
2017-08-04,0.0384
2017-08-11,0.031
2017-08-18,0.0498
