ticker,ABN NA EQUITY,ACA FP EQUITY,ADM LN EQUITY,AGN NA EQUITY,AGS BB EQUITY,AIBG ID EQUITY,ALB SQ EQUITY,ALLN SE EQUITY,ALPHA GA EQUITY,ALV GY EQUITY,AMUN FP EQUITY,ARL GY EQUITY,ASHM LN EQUITY,ASRNL NA EQUITY,AT1 GY EQUITY,ATRS AV EQUITY,AV/ LN EQUITY,AZM IM EQUITY,BAER SW EQUITY,BALDB SS EQUITY,BALN SW EQUITY,BAMI IM EQUITY,BARC LN EQUITY,BBOX LN EQUITY,BBVA SQ EQUITY,BCP PL EQUITY,BCVN SE EQUITY,BEFB BB EQUITY,BEZ LN EQUITY,BIRG ID EQUITY,BKIA SQ EQUITY,BKT SQ EQUITY,BLND LN EQUITY,BME SQ EQUITY,BMPS IM EQUITY,BNB BB EQUITY,BNP FP EQUITY,BPE IM EQUITY,BPSO IM EQUITY,CABK SQ EQUITY,CAF FP EQUITY,CAPC LN EQUITY,CASS IM EQUITY,CAST SS EQUITY,CBG LN EQUITY,CBK GY EQUITY,CMBN SE EQUITY,CNP FP EQUITY,COFB BB EQUITY,COL SQ EQUITY,COV FP EQUITY,CS FP EQUITY,CSGN SW EQUITY,CVAL IM EQUITY,DANSKE DC EQUITY,DB1 GY EQUITY,DBK GY EQUITY,DEQ GY EQUITY,DEXB BB EQUITY,DLG LN EQUITY,DLN LN EQUITY,DNB NO EQUITY,DWNI GY EQUITY,EBS AV EQUITY,ECMPA NA EQUITY,EFGN SE EQUITY,ENX FP EQUITY,ETE GA EQUITY,EUROB GA EQUITY,EXO IM EQUITY,FABG SS EQUITY,FBK IM EQUITY,G IM EQUITY,GAM SE EQUITY,GBLB BB EQUITY,GFC FP EQUITY,GJF NO EQUITY,GLE FP EQUITY,GLJ GY EQUITY,GPOR LN EQUITY,HELN SE EQUITY,HL/ LN EQUITY,HMSO LN EQUITY,HNR1 GY EQUITY,HSBA LN EQUITY,HSX LN EQUITY,HUFVA SS EQUITY,ICAD FP EQUITY,ICP LN EQUITY,IGG LN EQUITY,IIA AV EQUITY,III LN EQUITY,IL0A ID EQUITY,INDUA SS EQUITY,INGA NA EQUITY,INTRUM SS EQUITY,INTU LN EQUITY,INVEB SS EQUITY,INVP LN EQUITY,IPF LN EQUITY,ISP IM EQUITY,JUP LN EQUITY,JYSK DC EQUITY,KBC BB EQUITY,KBCA BB EQUITY,KINVB SS EQUITY,KN FP EQUITY,KOMB CK EQUITY,LAND LN EQUITY,LEG GY EQUITY,LGEN LN EQUITY,LI FP EQUITY,LLOY LN EQUITY,LN EQUITY,LRE LN EQUITY,LSE LN EQUITY,LUNDB SS EQUITY,MAP SQ EQUITY,MB IM EQUITY,MF FP EQUITY,MLP GY EQUITY,MOBN SE EQUITY,MRL SQ EQUITY,MRO LN EQUITY,MTRO LN EQUITY,MUV2 GY EQUITY,NBG6 GY EQUITY,NDA SS EQUITY,NN NA EQUITY,OMU LN EQUITY,PARG SE EQUITY,PEO PW EQUITY,PFG LN EQUITY,PGHN SW EQUITY,PHNX LN EQUITY,PKO PW EQUITY,PRU LN EQUITY,PSPN SE EQUITY,PST IM EQUITY,PZU PW EQUITY,QLT LN EQUITY,RATOB SS EQUITY,RBI AV EQUITY,RBS LN EQUITY,RF FP EQUITY,RSA LN EQUITY,SAB SQ EQUITY,SAMPO FH EQUITY,SAN SQ EQUITY,SCR FP EQUITY,SDR LN EQUITY,SEBA SS EQUITY,SGRO LN EQUITY,SHB LN EQUITY,SHBA SS EQUITY,SLA LN EQUITY,SLHN SW EQUITY,SOF BB EQUITY,SPL PW EQUITY,SPSN SW EQUITY,SREN SW EQUITY,STAN LN EQUITY,STB NO EQUITY,STJ LN EQUITY,SWEDA SS EQUITY,SYDB DC EQUITY,TCAP LN EQUITY,TEG GY EQUITY,TELL GA EQUITY,TOP DC EQUITY,TPEIR GA EQUITY,TRYG DC EQUITY,UBI IM EQUITY,UBSG SW EQUITY,UCG IM EQUITY,UNI IM EQUITY,URW NA EQUITY,US IM EQUITY,UTG LN EQUITY,VATN SE EQUITY,VIG AV EQUITY,VNA GY EQUITY,VPBN SE EQUITY,WCMK GY EQUITY,WDP BB EQUITY,WHA NA EQUITY,ZURN SW EQUITY
2007-01-02,,29.6509,1097.5,14.59,276.7631,5875,58,127.6114,378.0928,156.5,,31.875,258.75,,,19.434,839,9.5376,,16.8333,121.8,,671.111,,18.0139,11.3783,58.7,80.3475,136.964,331.542,,7.3466,1425.971,31.52,8633.2313,3606,82.3195,11.3071,9.3405,,98.6,,25.1476,80.9092,1037.5,176.8739,,21.2189,154.1141,1168.0062,137.9223,30.6315,78.0468,1054.6673,235.043,71.48,79.92,27.137,19270.766,,2116,85.082,28.418,59.692,39.95,45.95,,40683.9429,22051.7345,,46.178,,30.7,15.0797,91.7153,137.6428,,116.576,11.963,639.068,80.3,,490.826,34.93,818.278,406.715,75.75,90,898.021,300.25,86.847,755.681,2023.8782,140.5,26.177,87,920.03,169.5,537.737,,5.4753,,383.344,95.6,78.5714,86.2662,14.4079,624.4,2253.028,,160,46.8499,286.481,,340,1197.49,112,3.5216,17.2476,111.8998,15.12,189.375,,428.55,,131.05,71.7,85.7153,,,138.8,236,678.264,147,,44.2905,609.659,70,,,,83,114.437,,59.7258,697.955,5.7638,20.1881,13.2876,22.7,1125,112.7246,1464.622,597.316,70.167,427.429,305.25,83.55,229.5,71.09,103.6,1207.98,66.369,443,208.444,273,664,9.28,78.6,95.3,213046.5799,87.7,18.6788,65.856,181.4184,48.6255,,54.3654,528.821,137,54,,325,0.825,6.8922,89.9738,328
2007-01-03,,29.5238,1108,14.67,278.4375,5750,57.35,129.495,387.8291,157.52,,33.126,262,,,19.484,843.5,9.7115,,16.8333,122.9,,684.156,,18.1868,11.3379,59.5,81.3116,138.161,325.8649,,7.3708,1420.171,31.4,8608.8239,3689,83.0484,11.3616,9.4041,,98.4,,25.27,82.8614,1025.5,179.0316,,21.1572,153.2307,1165.747,135.6857,31.0419,79.0997,1074.3073,235.043,70.37,80.27,27.089,19379.2827,,2094,85.272,27.311,60.637,39.73,45.3,,41114.341,22684.0423,,46.178,,30.7455,15.428,90.9208,135.6904,,116.6648,13.167,637.701,80.2,,491.756,35.18,830.479,409.943,77.25,90,896.475,302.25,87.65,756.779,2014.2864,137,26.1693,86.75,922.672,167.5,542.148,,5.5016,,383.344,95.85,79.2857,85.8911,14.6776,626.4,2259.789,,159.75,46.2338,290.201,,340.75,1192.884,113,3.5808,17.379,110.9087,15.22,191.2879,,422.664,,131.74,73.5,84.8423,,,137.2,237,668.811,146.9,,44.475,621.235,71.1,,,,81.5,114.868,,60.3803,679.091,5.8388,20.0797,13.2968,22.84,1115,112.9825,1476.711,596.553,69.333,423.238,306.75,83.7,238.6,70.26,104.3,1208.78,66.537,447,208.858,271,655,9.261,77.8,95.3,214778.6659,88.5,18.7234,67.501,183.6305,49.015,,54.2613,530.769,137,56.19,,333,0.825,6.8509,89.7998,332.25
2007-01-04,,29.5557,1079,14.56,276.5957,5700,55.8,132.4145,392.6973,159.45,,33,250,,,19.663,834,9.4341,,16.5,122.9,,683.256,,18.1868,11.4186,58.9,82.6431,139.838,326.4326,,7.3285,1392.828,31.4,8612.3107,3670,82.854,11.4162,9.4613,,99.5,,25.3368,84.3798,1009,178.9716,,20.9474,150.0895,1149.9326,135.8721,30.7781,78.9166,1067.476,231.804,70.18,80.278,27.137,19243.6368,,2074,84.133,27.392,60.637,40.3,44.1,,41590.0441,22557.5807,,46.4223,,30.6818,15.7314,89.9773,134.1285,,116.6648,13.633,636.333,79.45,,484.939,35.1,822.2,403.487,78.25,90.5,887.717,301.75,89.338,746.889,2023.8782,134.5,26.1693,85.75,911.444,165,524.505,,5.4191,,385.203,94.7,79.2143,83.6407,14.454,631,2234.68,,160,46.1366,287.969,,338,1185.515,111.5,3.6499,17.3667,109.3228,15.1,194.6354,,420.898,,131.53,73.5,83.9692,,,137,235,666.447,143,,43.9214,617.376,70.1,,,,79.75,112.512,,58.9077,674.653,5.8388,19.922,13.3702,22.7,1098,111.9507,1454.393,588.543,68.667,421.841,307.25,82.3,235,70.41,103.5,1203.16,66.285,446.75,208.031,267.5,652,9.378,77.6,94.7,215644.7089,88.7,18.7948,67.234,183.1508,49.2275,,54.0828,525.899,138,56.49,,330,0.825,6.8371,89.1037,335.75
2007-01-05,,29.242,1058.5,14.47,271.1542,5700,55.65,132.9796,399.5127,157.2,,32.541,250.25,,,19.683,828.5,9.3636,,16.5833,122.9,,673.81,,18.0043,11.3783,59.1,82.5513,139.119,330.5958,,7.3285,1368.799,31.5,8556.5224,3636.5,81.7364,11.5253,9.4994,,100,,25.3479,85.0306,996,177.0537,,21.0091,149.8932,1165.747,136.4312,30.485,77.7722,1057.7414,232.267,69,79.268,27.132,19207.4646,,2060,83.373,27.419,58.786,39.4,42.5,,41839.2219,22905.35,,46.6667,,30.5455,15.7426,88.8352,132.0785,,115.8663,13.803,634.054,80.2,,475.643,34.86,820.021,406.715,78,90.5,890.293,301.5,90.864,743.959,2052.6538,132.75,25.8391,86.5,902.197,165,522.5,,5.3759,,386.597,95.75,79.2857,84.3908,14.3553,632,2204.742,,158,45.1315,286.481,,337.5,1181.83,111.625,3.8471,17.2057,109.4219,15.43,195.1136,,414.422,,129.75,72,83.4137,,,135.5,230,664.557,143,,42.4543,612.66,71.1,,,,80.75,109.189,,58.5804,673.543,5.8438,19.587,13.2876,22.79,1090,112.2087,1457.182,590.45,68.333,412.762,309.5,83.25,225,71.13,103.6,1188.72,66.621,429,209.271,269,644.5,9.378,77,94.7,216510.7519,88.1,18.8037,66.789,181.6849,50.1837,,54.1572,526.873,138.5,55.85,,329.5,0.839,6.8785,87.7114,337.25
2007-01-08,,29.1497,1084.5,14.44,272.2425,5612.5,55.95,132.5087,399.8372,157.44,,33.081,251.5,,,19.683,821,9.684,,16.1667,122.3,,676.509,,17.9562,11.3783,58.8,82.5513,139.598,327.3788,,7.3647,1329.028,31.94,8596.6202,3715,81.6878,11.5193,9.5439,,101.2,,25.4369,83.2953,993.5,177.8928,,20.861,150.0895,1156.7102,135.1265,30.612,76.994,1063.2065,231.342,69.975,78.848,27.051,19424.4981,,2013,83.848,27.148,58.398,39.15,42.9,,41997.7896,23268.927,,46.178,,30.2636,15.855,90.027,130.8095,,115.334,13.783,622.203,81,,463.868,35.18,812.178,405.998,78.75,92,897.506,299,90.382,740.296,2028.6742,134.75,25.7162,85,888.327,164.5,524.104,,5.3234,,388.92,94.85,79.2857,83.8282,14.5066,636,2134.245,,156.75,44.6452,285.489,,339.75,1180.909,111.25,3.8669,17.2133,109.6202,15.41,194.9223,,419.132,,130.05,73.75,83.4137,,,135.6,223.1,677.319,143,,42.3251,608.801,70.45,,,,80.5,105.32,,59.1258,671.324,5.9072,19.6659,13.2326,23.17,1092.5,110.1451,1432.074,575.193,68,413.81,310.25,83.7,217.6,71.23,102.8,1175.87,67.629,430.5,210.512,268,630,9.251,76.88,95,217030.3777,88,18.6877,66.078,181.4984,50.1129,,54.3505,516.161,138.7,54.7,,326.25,0.894,6.7971,87.4504,337
2007-01-09,,29.4542,1088,15.2,272.996,5595,55.7,132.3203,396.9163,155.6,,33.126,250.25,,,19.733,830.5,9.76,,16.8333,122.2,,688.204,,18.0139,11.3379,59.1,81.633,139.359,326.4326,,7.3526,1329.028,32.74,8626.2577,3680.5,81.542,11.6102,9.6582,,102.5,,25.3757,82.6445,995,181.1893,,21.2683,148.6171,1161.2286,135.5925,30.9442,76.9025,1071.7456,231.342,71.375,79.291,27.236,19487.7995,,2009,84.513,27.148,59.294,39.17,42.55,,41907.1795,23095.0423,,46.4223,,30.1909,15.9561,89.5801,128.8571,,115.0678,13.787,624.938,82,,464.178,35.12,805.207,411.378,80.5,92,911.932,298.75,91.587,742.86,2028.6742,136,25.9312,84,889.648,163.5,518.089,,5.3468,,391.708,96.45,80,85.141,14.7368,647,2132.313,,160.25,43.5752,288.217,,347,1179.067,112.5,3.8669,17.2829,109.8184,15.13,193.8702,,434.437,,129.71,73.75,84.0486,,,135,224,680.627,143.3,,42.242,616.947,70.3,,,,79.75,106.805,,58.9077,676.872,5.9355,20.0698,13.2326,23.27,1090,109.6292,1446.953,580.152,67.833,415.556,312,83.85,220,71.38,104.1,1185.51,68.973,431.75,210.926,272.5,613.5,9.28,76.12,96.5,220840.9669,93.5,18.6877,66.567,182.6977,51.0691,,54.4398,514.7,139.5,55.48,,329.5,0.894,6.8647,89.1907,339
2007-01-10,,29.3988,1077,15.37,270.0659,5537.5,54.15,132.2261,386.5309,152.39,,32.991,250,,,19.773,822.5,9.6126,,16.5,120.6,,678.758,,17.6872,11.4186,60.4,80.6688,139.838,323.9726,,7.1168,1309.142,32.39,8551.2923,3820,80.3757,11.6405,9.7535,,103.8,,25.3646,82.4276,987.5,184.9653,,21.4658,148.1263,1147.6734,136.0584,30.6511,76.6278,1071.5748,229.491,70.645,78.452,27.132,19505.8856,,2008,82.329,27.126,57.105,39.51,42.75,,40751.9005,22842.1192,,46.911,,30.2,15.9786,89.1828,127.0023,,114.2694,13.86,623.57,82,,461.699,34.59,803.9,400.618,81.5,92,918.63,295,92.069,739.563,2026.7558,136.25,25.4552,83,888.988,161.5,508.064,,5.2662,,394.961,94.95,79.2857,83.0781,14.6908,644.8,2127.485,,157.75,42.8944,286.481,,343.75,1182.751,112.25,3.7584,17.1667,109.4219,14.87,195.9744,,441.501,,128.15,73.5,82.9375,,,134.5,215.8,678.737,147.5,,41.0979,610.088,70,,,,80,101.03,,58.5258,674.653,5.8455,19.9122,12.9483,22.93,1072.5,108.5974,1435.794,582.44,67.333,414.159,310.25,83.35,215,70.75,103.6,1169.45,68.553,424,206.376,271.5,631.5,9.31,75.48,98.1,216164.3347,91.2,18.7323,66.256,182.4312,50.3962,,53.8151,508.856,139.5,55.08,,328,0.866,6.8233,89.7128,338.25
2007-01-11,,30.2662,1089.5,15.57,274.2517,5562.5,54.4,131.8494,399.1881,155.56,,33.576,251.75,,,19.773,824.5,9.7143,,16.5,120.2,,684.606,,17.9947,11.3783,61.3,82.3676,138.88,323.9726,,7.274,1303.342,33.77,8638.4614,3795,82.6111,11.8224,9.6582,,103.2,,25.3535,82.2107,1000.5,187.6026,,22.375,148.2244,1152.1918,134.4742,31.55,77.4975,1087.543,230.185,75.1,79.85,27.312,19596.3162,,1985,83.278,27.121,58.209,40.15,42.6,,41046.3834,23427.0039,,46.4223,,30.8545,16.5179,90.5235,127.0999,,116.6648,14.06,616.277,84,,466.037,34.92,805.207,403.129,81.5,92,917.084,289,93.274,751.285,2028.6742,137.25,25.8007,85.25,881.723,164,521.698,,5.3815,,394.496,97.3,80.0714,85.516,14.6118,651.8,2090.787,,160,42.6674,289.209,,350,1203.938,114.5,3.788,17.3676,109.6202,15,195.8788,,442.678,,129.52,73.5,86.1915,,,137,225,691.026,150,,41.4669,621.663,70,,,,81.75,105.722,,60.4349,696.845,5.9072,20.1486,13.1134,22.91,1082,113.4984,1436.724,587.399,69.167,415.905,313.75,83.25,228,70.99,104.5,1194.34,71.326,420,217.13,273,625.5,9.476,75.28,99.9,221014.1755,94,18.768,67.545,183.7904,50.3431,,53.8894,507.396,140,55.2,,329.5,0.852,6.7958,89.8868,339.25
2007-01-12,,30.3862,1075,15.58,274.0843,5562.5,55.3,132.132,410.5471,156.29,,32.955,250,,,19.793,824,9.6584,,16.5,120.8,,683.706,,18.1868,11.4186,61.4,81.8626,140.556,326.4326,,7.2801,1312.456,34.7,8628.0011,3770,82.8055,11.9437,9.5947,,101.6,,25.4536,82.2107,993.5,189.7603,,22.475,148.1263,1154.451,135.5925,32.1949,77.7722,1101.2056,230.879,74.375,80.953,27.431,19460.6703,,1967,83.278,27.034,58.597,40.45,44.5,,41680.6542,23869.6194,,46.6667,,30.8636,16.6303,91.0697,127.6857,,117.1083,14.307,618.1,86.15,,462.319,35.45,800.414,402.053,82.5,91.5,913.477,286.5,94.078,750.919,2033.4701,139.25,25.9159,84.5,858.606,165.5,525.708,,5.4191,,393.567,96.85,80.3571,86.4537,14.5987,649,2103.342,,159.5,43.2834,294.17,,355.5,1208.544,114,3.8471,17.3857,109.8184,14.97,195.5918,,458.572,,129.75,73.5,85.874,,,137,225,702.842,149,,41.6607,619.948,70.45,,,,83.25,108.385,,60.2167,700.174,5.9856,20.257,13.1042,22.46,1078.5,113.7564,1435.794,594.264,69.167,412.064,313.5,83.8,236.5,70.89,106.1,1188.72,69.562,420.5,217.543,271,624.5,9.544,75.16,100.8,221014.1755,91.7,18.7859,67.723,185.2296,50.8035,,54.3059,502.526,140,55.49,,332,1.031,6.7806,89.9738,340
2007-01-15,,30.4969,1076,15.54,275.0051,5662.5,55.5,134.3922,409.5735,156.75,,32.991,255,,,19.793,835,9.7564,,16.9167,121.4,,690.903,,18.3213,11.4186,60.9,81.7248,141.753,329.2712,,7.2861,1310.799,35.05,8641.9482,3795,83.0484,12.0649,9.5311,,100.5,,25.4815,84.3798,997,189.6404,,22.5875,148.2244,1222.227,137.3631,32.1949,79.0081,1093.7765,233.655,78.35,81.396,27.403,19713.8761,,1930,85.177,27.256,58.697,41,44.25,,42111.0523,23711.5424,,47.8883,,30.9545,16.709,90.9704,128.8571,,117.8181,14.083,616.277,85.6,,465.417,35.39,799.543,403.487,85.5,91.5,926.873,294.75,94.319,754.215,2016.2048,142,26.0925,85.75,858.606,168.5,525.708,,5.466,,395.425,98,81.1429,87.2039,14.7303,654.8,2099.479,,159.75,43.9967,296.402,,360,1217.755,117,3.8373,17.4524,111.0078,15.07,195.5918,,472.7,,129.68,73,86.6677,,,137.7,234,705.205,147.3,,42.0021,618.234,70.4,,,,87,108.94,,60.544,717.928,6.0289,20.2767,13.1317,22.65,1097,115.82,1437.654,595.409,69.833,413.46,313.75,83.7,239,71.04,106.3,1191.12,70.99,426,218.784,274.5,617,9.612,75.12,101,225864.0164,90.8,18.768,67.901,186.882,50.7504,,53.9341,504.961,140.5,55.29,,326.75,1.1,6.8233,90.5829,340
